device,location,ru
NRT12-72-ES-E1-B2-T1-R15,NRT72.2-1.02-01-012-50,25
NRT12-72-ES-E1-B2-T1-R2,NRT72.2-1.02-01-012-50,22
NRT12-72-ES-E1-B2-T1-R4,NRT72.2-1.02-01-012-50,21
NRT12-72-ES-E1-B2-T1-R6,NRT72.2-1.02-01-012-50,20
NRT12-72-ES-E1-B2-T1-R8,NRT72.2-1.02-01-012-50,19
NRT12-72-ES-E1-B2-T1-R10,NRT72.2-1.02-01-012-50,18
NRT12-72-ES-E1-B2-T1-R12,NRT72.2-1.02-01-012-50,17
NRT12-72-ES-E1-B2-T1-R14,NRT72.2-1.02-01-012-50,16
NRT12-72-ES-E1-B2-T1-R16,NRT72.2-1.02-01-012-50,15
NRT12-72-ES-MGMT-SW-100-102-216-64,NRT72.2-1.02-01-012-50,14
NRT12-72-ES-E1-B2-T2-R9,NRT72.2-1.02-01-012-50,9
NRT12-72-ES-E1-B2-T2-R10,NRT72.2-1.02-01-012-50,8
NRT12-72-ES-E1-B2-T2-R11,NRT72.2-1.02-01-012-50,7
NRT12-72-ES-E1-B2-T2-R12,NRT72.2-1.02-01-012-50,6
NRT12-72-ES-E1-B2-T2-R13,NRT72.2-1.02-01-012-50,5
NRT12-72-ES-E1-B2-T2-R14,NRT72.2-1.02-01-012-50,4
NRT12-72-ES-E1-B2-T2-R15,NRT72.2-1.02-01-012-50,3
NRT12-72-ES-E1-B2-T2-R16,NRT72.2-1.02-01-012-50,2
NRT12-72-ES-E1-B5-T2-R1,NRT72.2-1.02-01-012-64,47
NRT12-72-ES-E1-B5-T2-R2,NRT72.2-1.02-01-012-64,46
NRT12-72-ES-E1-B5-T2-R3,NRT72.2-1.02-01-012-64,45
NRT12-72-ES-E1-B5-T2-R4,NRT72.2-1.02-01-012-64,44
NRT12-72-ES-E1-B5-T2-R5,NRT72.2-1.02-01-012-64,43
NRT12-72-ES-E1-B5-T2-R6,NRT72.2-1.02-01-012-64,42
NRT12-72-ES-E1-B5-T2-R7,NRT72.2-1.02-01-012-64,41
NRT12-72-ES-E1-B5-T2-R8,NRT72.2-1.02-01-012-64,40
NRT12-72-ES-OOB-CON-E1-B5,NRT72.2-1.02-01-012-64,34
NRT12-72-ES-E1-B5-T1-R1,NRT72.2-1.02-01-012-64,33
NRT12-72-ES-E1-B5-T1-R3,NRT72.2-1.02-01-012-64,32
NRT12-72-ES-E1-B5-T1-R5,NRT72.2-1.02-01-012-64,31
NRT12-72-ES-E1-B5-T1-R7,NRT72.2-1.02-01-012-64,30
NRT12-72-ES-E1-B5-T1-R9,NRT72.2-1.02-01-012-64,29
NRT12-72-ES-E1-B5-T1-R11,NRT72.2-1.02-01-012-64,28
NRT12-72-ES-E1-B5-T1-R13,NRT72.2-1.02-01-012-64,27
NRT12-72-ES-E1-B5-T1-R15,NRT72.2-1.02-01-012-64,26
NRT12-72-ES-E1-B5-T1-R2,NRT72.2-1.02-01-012-64,23
NRT12-72-ES-E1-B5-T1-R4,NRT72.2-1.02-01-012-64,22
NRT12-72-ES-E1-B5-T1-R6,NRT72.2-1.02-01-012-64,21
NRT12-72-ES-E1-B5-T1-R8,NRT72.2-1.02-01-012-64,20
NRT12-72-ES-E1-B5-T1-R10,NRT72.2-1.02-01-012-64,19
NRT12-72-ES-E1-B5-T1-R12,NRT72.2-1.02-01-012-64,18
NRT12-72-ES-E1-B5-T1-R14,NRT72.2-1.02-01-012-64,17
NRT12-72-ES-E1-B5-T1-R16,NRT72.2-1.02-01-012-64,16
NRT12-72-ES-MGMT-SW-100-102-217-0,NRT72.2-1.02-01-012-64,15
NRT12-72-ES-E1-B5-T2-R9,NRT72.2-1.02-01-012-64,9
NRT12-72-ES-E1-B5-T2-R10,NRT72.2-1.02-01-012-64,8
NRT12-72-ES-E1-B5-T2-R11,NRT72.2-1.02-01-012-64,7
NRT12-72-ES-E1-B5-T2-R12,NRT72.2-1.02-01-012-64,6
NRT12-72-ES-E1-B5-T2-R13,NRT72.2-1.02-01-012-64,5
NRT12-72-ES-E1-B5-T2-R14,NRT72.2-1.02-01-012-64,4
NRT12-72-ES-E1-B5-T2-R15,NRT72.2-1.02-01-012-64,3
NRT12-72-ES-E1-B5-T2-R16,NRT72.2-1.02-01-012-64,2
NRT12-72-CO-ACC-SW007,NRT72.2-1.02-01-013-47,38
NRT12-72-CO-ACC-SW008,NRT72.2-1.02-01-013-47,33
NRT12-72-CO-DSN-DCSS-SW001,NRT72.2-1.02-01-013-47,31
NRT12-72-CO-DSN-DCSS-SW002,NRT72.2-1.02-01-013-47,29
NRT12-72-CO-ACC-SW009,NRT72.2-1.02-01-013-50,38
NRT12-72-CO-ACC-SW010,NRT72.2-1.02-01-013-50,33
NRT12-72-CO-DSN-DCSS-SW003,NRT72.2-1.02-01-013-50,31
NRT12-72-CO-DSN-DCSS-SW004,NRT72.2-1.02-01-013-50,29
NRT12-72-CO-ACC-SW011,NRT72.2-1.02-01-014-47,34
NRT12-72-CO-ACC-SW012,NRT72.2-1.02-01-014-47,34
NRT12-72-CO-DSN-DCSS-SW005,NRT72.2-1.02-01-014-47,32
NRT12-72-CO-DSN-DCSS-SW006,NRT72.2-1.02-01-014-47,31
NRT12-72-CO-ACC-SW013,NRT72.2-1.02-01-014-50,34
NRT12-72-CO-DSN-DCSS-SW007,NRT72.2-1.02-01-014-50,32
NRT12-72-CO-DSN-DCSS-SW008,NRT72.2-1.02-01-014-50,31
NRT12-72-CO-ACC-SW014,NRT72.2-1.02-01-014-50,29
NRT12-72-P1-SW7-WSOOB-CON-R1,NRT72.2-1.02-01-015-11,40
NRT12-72-P1-SW7-WSOOB-CON-R2,NRT72.2-1.02-01-015-11,39
NRT12-72-P1-SW8-WSOOB-CON-R1,NRT72.2-1.02-01-015-11,37
NRT12-72-P1-SW8-WSOOB-CON-R2,NRT72.2-1.02-01-015-11,36
NRT12-72-P1-WSOOB-CON-ACC-SW7,NRT72.2-1.02-01-015-11,34
NRT12-72-P1-WSOOB-CON-ACC-SW8,NRT72.2-1.02-01-015-11,33
NRT12-72-P1-ESOOB-CON-ACC-SW7,NRT72.2-1.02-01-015-11,31
NRT12-72-P1-ESOOB-CON-ACC-SW8,NRT72.2-1.02-01-015-11,30
NRT12-72-P1-WSOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-11,28
NRT12-72-P1-WSOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-11,27
NRT12-72-P1-ESOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-11,25
NRT12-72-P1-ESOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-11,24
NRT12-72-P1-ESOOB-CON-ACC-SW7-TOR2,NRT72.2-1.02-01-015-11,22
NRT12-72-P2-SW7-WSOOB-CON-R1,NRT72.2-1.02-01-015-61,41
NRT12-72-P2-SW7-WSOOB-CON-R2,NRT72.2-1.02-01-015-61,40
NRT12-72-P2-SW8-WSOOB-CON-R1,NRT72.2-1.02-01-015-61,38
NRT12-72-P2-SW8-WSOOB-CON-R2,NRT72.2-1.02-01-015-61,37
NRT12-72-P2-WSOOB-CON-ACC-SW7,NRT72.2-1.02-01-015-61,35
NRT12-72-P2-WSOOB-CON-ACC-SW8,NRT72.2-1.02-01-015-61,34
NRT12-72-P2-ESOOB-CON-ACC-SW7,NRT72.2-1.02-01-015-61,32
NRT12-72-P2-ESOOB-CON-ACC-SW8,NRT72.2-1.02-01-015-61,31
NRT12-72-WSOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-61,29
NRT12-72-WSOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-61,28
NRT12-72-ESOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-61,26
NRT12-72-ESOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-61,25
NRT12-72-ESOOB-CON-ACC-SW7-TOR2,NRT72.2-1.02-01-015-61,23
NRT12-72-P2-ESOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-61,0
NRT12-72-P2-ESOOB-CON-ACC-SW7-TOR2,NRT72.2-1.02-01-015-61,0
NRT12-72-P2-ESOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-61,0
NRT12-72-P2-WSOOB-CON-ACC-SW7-TOR1,NRT72.2-1.02-01-015-61,0
NRT12-72-P2-WSOOB-CON-ACC-SW8-TOR1,NRT72.2-1.02-01-015-61,0
nrt12-72-p4-sw1-wsoob-con-r1,NRT72.2-1.02-01-020-101,40
nrt12-72-p4-sw1-wsoob-con-r2,NRT72.2-1.02-01-020-101,39
nrt12-72-p4-sw2-wsoob-con-r1,NRT72.2-1.02-01-020-101,37
nrt12-72-p4-sw2-wsoob-con-r2,NRT72.2-1.02-01-020-101,36
nrt12-72-p4-wsoob-con-acc-sw1,NRT72.2-1.02-01-020-101,34
nrt12-72-p4-wsoob-con-acc-sw2,NRT72.2-1.02-01-020-101,33
nrt12-72-p4-esoob-con-acc-sw1,NRT72.2-1.02-01-020-101,31
nrt12-72-p4-esoob-con-acc-sw2,NRT72.2-1.02-01-020-101,30
nrt12-72-p4-wsoob-con-acc-sw1-tor1,NRT72.2-1.02-01-020-101,28
nrt12-72-p4-wsoob-con-acc-sw2-tor1,NRT72.2-1.02-01-020-101,27
nrt12-72-p4-esoob-con-acc-sw1-tor1,NRT72.2-1.02-01-020-101,25
nrt12-72-p4-esoob-con-acc-sw2-tor1,NRT72.2-1.02-01-020-101,24
nrt12-72-p4-esoob-con-acc-sw1-tor2,NRT72.2-1.02-01-020-101,22
nrt12-72-p4-wsoob-pod-agg-r1,NRT72.2-1.02-01-020-101,16
nrt12-72-p4-esoob-pod-agg-r1,NRT72.2-1.02-01-020-101,15
nrt12-72-co-acc-sw053,NRT72.2-1.02-01-020-101,12
nrt12-72-co-acc-sw054,NRT72.2-1.02-01-020-101,11
nrt12-72-p3-sw1-wsoob-con-r1,NRT72.2-1.02-01-020-50,40
nrt12-72-p3-sw1-wsoob-con-r2,NRT72.2-1.02-01-020-50,39
nrt12-72-p3-sw2-wsoob-con-r1,NRT72.2-1.02-01-020-50,37
nrt12-72-p3-sw2-wsoob-con-r2,NRT72.2-1.02-01-020-50,36
nrt12-72-p3-wsoob-con-acc-sw1,NRT72.2-1.02-01-020-50,34
nrt12-72-p3-wsoob-con-acc-sw2,NRT72.2-1.02-01-020-50,33
nrt12-72-p3-esoob-con-acc-sw1,NRT72.2-1.02-01-020-50,31
nrt12-72-p3-esoob-con-acc-sw2,NRT72.2-1.02-01-020-50,30
nrt12-72-p3-wsoob-con-acc-sw1-tor1,NRT72.2-1.02-01-020-50,28
nrt12-72-p3-wsoob-con-acc-sw2-tor1,NRT72.2-1.02-01-020-50,27
nrt12-72-p3-esoob-con-acc-sw1-tor1,NRT72.2-1.02-01-020-50,25
nrt12-72-p3-esoob-con-acc-sw2-tor1,NRT72.2-1.02-01-020-50,24
nrt12-72-p3-esoob-con-acc-sw1-tor2,NRT72.2-1.02-01-020-50,22
nrt12-72-p3-wsoob-pod-agg-r1,NRT72.2-1.02-01-020-50,16
nrt12-72-p3-esoob-pod-agg-r1,NRT72.2-1.02-01-020-50,15
nrt12-72-co-acc-sw049,NRT72.2-1.02-01-020-50,12
nrt12-72-co-acc-sw050,NRT72.2-1.02-01-020-50,11
nrt12-72-es-e1-b8-t2-r1,NRT72.2-1.02-01-022-101,47
nrt12-72-es-e1-b8-t2-r2,NRT72.2-1.02-01-022-101,46
nrt12-72-es-e1-b8-t2-r3,NRT72.2-1.02-01-022-101,45
nrt12-72-es-e1-b8-t2-r4,NRT72.2-1.02-01-022-101,44
nrt12-72-es-e1-b8-t2-r5,NRT72.2-1.02-01-022-101,43
nrt12-72-es-e1-b8-t2-r6,NRT72.2-1.02-01-022-101,42
nrt12-72-es-e1-b8-t2-r7,NRT72.2-1.02-01-022-101,41
nrt12-72-es-e1-b8-t2-r8,NRT72.2-1.02-01-022-101,40
nrt12-72-es-oob-con-e1-b8,NRT72.2-1.02-01-022-101,33
nrt12-72-es-e1-b8-t1-r1,NRT72.2-1.02-01-022-101,32
nrt12-72-es-e1-b8-t1-r3,NRT72.2-1.02-01-022-101,31
nrt12-72-es-e1-b8-t1-r5,NRT72.2-1.02-01-022-101,30
nrt12-72-es-e1-b8-t1-r7,NRT72.2-1.02-01-022-101,29
nrt12-72-es-e1-b8-t1-r9,NRT72.2-1.02-01-022-101,28
nrt12-72-es-e1-b8-t1-r11,NRT72.2-1.02-01-022-101,27
nrt12-72-es-e1-b8-t1-r13,NRT72.2-1.02-01-022-101,26
nrt12-72-es-e1-b8-t1-r15,NRT72.2-1.02-01-022-101,25
nrt12-72-es-e1-b8-t1-r2,NRT72.2-1.02-01-022-101,22
nrt12-72-es-e1-b8-t1-r4,NRT72.2-1.02-01-022-101,21
nrt12-72-es-e1-b8-t1-r6,NRT72.2-1.02-01-022-101,20
nrt12-72-es-e1-b8-t1-r8,NRT72.2-1.02-01-022-101,19
nrt12-72-es-e1-b8-t1-r10,NRT72.2-1.02-01-022-101,18
nrt12-72-es-e1-b8-t1-r12,NRT72.2-1.02-01-022-101,17
nrt12-72-es-e1-b8-t1-r14,NRT72.2-1.02-01-022-101,16
nrt12-72-es-e1-b8-t1-r16,NRT72.2-1.02-01-022-101,15
nrt12-72-es-mgmt-sw-100-102-217-192,NRT72.2-1.02-01-022-101,14
nrt12-72-es-e1-b8-t2-r9,NRT72.2-1.02-01-022-101,9
nrt12-72-es-e1-b8-t2-r10,NRT72.2-1.02-01-022-101,8
nrt12-72-es-e1-b8-t2-r11,NRT72.2-1.02-01-022-101,7
nrt12-72-es-e1-b8-t2-r12,NRT72.2-1.02-01-022-101,6
nrt12-72-es-e1-b8-t2-r13,NRT72.2-1.02-01-022-101,5
nrt12-72-es-e1-b8-t2-r14,NRT72.2-1.02-01-022-101,4
nrt12-72-es-e1-b8-t2-r15,NRT72.2-1.02-01-022-101,3
nrt12-72-es-e1-b8-t2-r16,NRT72.2-1.02-01-022-101,2
nrt12-72-es-e1-b7-t2-r1,NRT72.2-1.02-01-022-14,47
nrt12-72-es-e1-b7-t2-r2,NRT72.2-1.02-01-022-14,46
nrt12-72-es-e1-b7-t2-r3,NRT72.2-1.02-01-022-14,45
nrt12-72-es-e1-b7-t2-r4,NRT72.2-1.02-01-022-14,44
nrt12-72-es-e1-b7-t2-r5,NRT72.2-1.02-01-022-14,43
nrt12-72-es-e1-b7-t2-r6,NRT72.2-1.02-01-022-14,42
nrt12-72-es-e1-b7-t2-r7,NRT72.2-1.02-01-022-14,41
nrt12-72-es-e1-b7-t2-r8,NRT72.2-1.02-01-022-14,40
nrt12-72-es-oob-con-e1-b7,NRT72.2-1.02-01-022-14,33
nrt12-72-es-e1-b7-t1-r1,NRT72.2-1.02-01-022-14,32
nrt12-72-es-e1-b7-t1-r3,NRT72.2-1.02-01-022-14,31
nrt12-72-es-e1-b7-t1-r5,NRT72.2-1.02-01-022-14,30
nrt12-72-es-e1-b7-t1-r7,NRT72.2-1.02-01-022-14,29
nrt12-72-es-e1-b7-t1-r9,NRT72.2-1.02-01-022-14,28
nrt12-72-es-e1-b7-t1-r11,NRT72.2-1.02-01-022-14,27
nrt12-72-es-e1-b7-t1-r13,NRT72.2-1.02-01-022-14,26
nrt12-72-es-e1-b7-t1-r15,NRT72.2-1.02-01-022-14,25
nrt12-72-es-e1-b7-t1-r2,NRT72.2-1.02-01-022-14,22
nrt12-72-es-e1-b7-t1-r4,NRT72.2-1.02-01-022-14,21
nrt12-72-es-e1-b7-t1-r6,NRT72.2-1.02-01-022-14,20
nrt12-72-es-e1-b7-t1-r8,NRT72.2-1.02-01-022-14,19
nrt12-72-es-e1-b7-t1-r10,NRT72.2-1.02-01-022-14,18
nrt12-72-es-e1-b7-t1-r12,NRT72.2-1.02-01-022-14,17
nrt12-72-es-e1-b7-t1-r14,NRT72.2-1.02-01-022-14,16
nrt12-72-es-e1-b7-t1-r16,NRT72.2-1.02-01-022-14,15
nrt12-72-es-mgmt-sw-100-102-217-128,NRT72.2-1.02-01-022-14,14
nrt12-72-es-e1-b7-t2-r9,NRT72.2-1.02-01-022-14,9
nrt12-72-es-e1-b7-t2-r10,NRT72.2-1.02-01-022-14,8
nrt12-72-es-e1-b7-t2-r11,NRT72.2-1.02-01-022-14,7
nrt12-72-es-e1-b7-t2-r12,NRT72.2-1.02-01-022-14,6
nrt12-72-es-e1-b7-t2-r13,NRT72.2-1.02-01-022-14,5
nrt12-72-es-e1-b7-t2-r14,NRT72.2-1.02-01-022-14,4
nrt12-72-es-e1-b7-t2-r15,NRT72.2-1.02-01-022-14,3
nrt12-72-es-e1-b7-t2-r16,NRT72.2-1.02-01-022-14,2
nrt12-72-p4-sw3-wsoob-con-r1,NRT72.2-1.02-01-023-101,40
nrt12-72-p4-sw3-wsoob-con-r2,NRT72.2-1.02-01-023-101,39
nrt12-72-p4-sw4-wsoob-con-r1,NRT72.2-1.02-01-023-101,37
nrt12-72-p4-sw4-wsoob-con-r2,NRT72.2-1.02-01-023-101,36
nrt12-72-p4-wsoob-con-acc-sw3,NRT72.2-1.02-01-023-101,34
nrt12-72-p4-wsoob-con-acc-sw4,NRT72.2-1.02-01-023-101,33
nrt12-72-p4-esoob-con-acc-sw3,NRT72.2-1.02-01-023-101,31
nrt12-72-p4-esoob-con-acc-sw4,NRT72.2-1.02-01-023-101,30
nrt12-72-p4-wsoob-con-acc-sw3-tor1,NRT72.2-1.02-01-023-101,28
nrt12-72-p4-wsoob-con-acc-sw4-tor1,NRT72.2-1.02-01-023-101,27
nrt12-72-p4-esoob-con-acc-sw3-tor1,NRT72.2-1.02-01-023-101,25
nrt12-72-p4-esoob-con-acc-sw4-tor1,NRT72.2-1.02-01-023-101,24
nrt12-72-p4-esoob-con-acc-sw3-tor2,NRT72.2-1.02-01-023-101,22
nrt12-72-p4-wsoob-pod-agg-r2,NRT72.2-1.02-01-023-101,16
nrt12-72-p4-esoob-pod-agg-r2,NRT72.2-1.02-01-023-101,15
nrt12-72-co-acc-sw055,NRT72.2-1.02-01-023-101,12
nrt12-72-co-acc-sw056,NRT72.2-1.02-01-023-101,11
nrt12-72-p3-sw3-wsoob-con-r1,NRT72.2-1.02-01-023-11,40
nrt12-72-p3-sw3-wsoob-con-r2,NRT72.2-1.02-01-023-11,39
nrt12-72-p3-sw4-wsoob-con-r1,NRT72.2-1.02-01-023-11,37
nrt12-72-p3-sw4-wsoob-con-r2,NRT72.2-1.02-01-023-11,36
nrt12-72-p3-wsoob-con-acc-sw3,NRT72.2-1.02-01-023-11,34
nrt12-72-p3-wsoob-con-acc-sw4,NRT72.2-1.02-01-023-11,33
nrt12-72-p3-esoob-con-acc-sw3,NRT72.2-1.02-01-023-11,31
nrt12-72-p3-esoob-con-acc-sw4,NRT72.2-1.02-01-023-11,30
nrt12-72-p3-wsoob-con-acc-sw3-tor1,NRT72.2-1.02-01-023-11,28
nrt12-72-p3-wsoob-con-acc-sw4-tor1,NRT72.2-1.02-01-023-11,27
nrt12-72-p3-esoob-con-acc-sw3-tor1,NRT72.2-1.02-01-023-11,25
nrt12-72-p3-esoob-con-acc-sw4-tor1,NRT72.2-1.02-01-023-11,24
nrt12-72-p3-esoob-con-acc-sw3-tor2,NRT72.2-1.02-01-023-11,22
nrt12-72-p3-wsoob-pod-agg-r2,NRT72.2-1.02-01-023-11,16
nrt12-72-p3-esoob-pod-agg-r2,NRT72.2-1.02-01-023-11,15
nrt12-72-co-acc-sw051,NRT72.2-1.02-01-023-11,12
nrt12-72-co-acc-sw052,NRT72.2-1.02-01-023-11,11
nrt12-72-p4-sw5-wsoob-con-r1,NRT72.2-1.02-01-027-101,40
nrt12-72-p4-sw5-wsoob-con-r2,NRT72.2-1.02-01-027-101,39
nrt12-72-p4-sw6-wsoob-con-r1,NRT72.2-1.02-01-027-101,37
nrt12-72-p4-sw6-wsoob-con-r2,NRT72.2-1.02-01-027-101,36
nrt12-72-p4-wsoob-con-acc-sw5,NRT72.2-1.02-01-027-101,34
nrt12-72-p4-wsoob-con-acc-sw6,NRT72.2-1.02-01-027-101,33
nrt12-72-p4-esoob-con-acc-sw5,NRT72.2-1.02-01-027-101,31
nrt12-72-p4-esoob-con-acc-sw6,NRT72.2-1.02-01-027-101,30
nrt12-72-p4-wsoob-con-acc-sw5-tor1,NRT72.2-1.02-01-027-101,28
nrt12-72-p4-wsoob-con-acc-sw6-tor1,NRT72.2-1.02-01-027-101,27
nrt12-72-p4-esoob-con-acc-sw5-tor1,NRT72.2-1.02-01-027-101,25
nrt12-72-p4-esoob-con-acc-sw6-tor1,NRT72.2-1.02-01-027-101,24
nrt12-72-p4-esoob-con-acc-sw5-tor2,NRT72.2-1.02-01-027-101,22
nrt12-72-p3-sw5-wsoob-con-r1,NRT72.2-1.02-01-027-50,40
nrt12-72-p3-sw5-wsoob-con-r2,NRT72.2-1.02-01-027-50,39
nrt12-72-p3-sw6-wsoob-con-r1,NRT72.2-1.02-01-027-50,37
nrt12-72-p3-sw6-wsoob-con-r2,NRT72.2-1.02-01-027-50,36
nrt12-72-p3-wsoob-con-acc-sw5,NRT72.2-1.02-01-027-50,34
nrt12-72-p3-wsoob-con-acc-sw6,NRT72.2-1.02-01-027-50,33
nrt12-72-p3-esoob-con-acc-sw5,NRT72.2-1.02-01-027-50,31
nrt12-72-p3-esoob-con-acc-sw6,NRT72.2-1.02-01-027-50,30
nrt12-72-p3-wsoob-con-acc-sw5-tor1,NRT72.2-1.02-01-027-50,28
nrt12-72-p3-wsoob-con-acc-sw6-tor1,NRT72.2-1.02-01-027-50,27
nrt12-72-p3-esoob-con-acc-sw5-tor1,NRT72.2-1.02-01-027-50,25
nrt12-72-p3-esoob-con-acc-sw6-tor1,NRT72.2-1.02-01-027-50,24
nrt12-72-p3-esoob-con-acc-sw5-tor2,NRT72.2-1.02-01-027-50,22
nrt12-72-es-e1-b6-t2-r1,NRT72.2-1.02-01-028-14,47
nrt12-72-es-e1-b6-t2-r2,NRT72.2-1.02-01-028-14,46
nrt12-72-es-e1-b6-t2-r3,NRT72.2-1.02-01-028-14,45
nrt12-72-es-e1-b6-t2-r4,NRT72.2-1.02-01-028-14,44
nrt12-72-es-e1-b6-t2-r5,NRT72.2-1.02-01-028-14,43
nrt12-72-es-e1-b6-t2-r6,NRT72.2-1.02-01-028-14,42
nrt12-72-es-e1-b6-t2-r7,NRT72.2-1.02-01-028-14,41
nrt12-72-es-e1-b6-t2-r8,NRT72.2-1.02-01-028-14,40
nrt12-72-es-oob-con-e1-b6,NRT72.2-1.02-01-028-14,34
nrt12-72-es-e1-b6-t1-r1,NRT72.2-1.02-01-028-14,33
nrt12-72-es-e1-b6-t1-r2,NRT72.2-1.02-01-028-14,32
nrt12-72-es-e1-b6-t1-r3,NRT72.2-1.02-01-028-14,31
nrt12-72-es-e1-b6-t1-r4,NRT72.2-1.02-01-028-14,30
nrt12-72-es-e1-b6-t1-r5,NRT72.2-1.02-01-028-14,29
nrt12-72-es-e1-b6-t1-r6,NRT72.2-1.02-01-028-14,28
nrt12-72-es-e1-b6-t1-r7,NRT72.2-1.02-01-028-14,27
nrt12-72-es-e1-b6-t1-r8,NRT72.2-1.02-01-028-14,26
nrt12-72-es-e1-b6-t1-r9,NRT72.2-1.02-01-028-14,23
nrt12-72-es-e1-b6-t1-r10,NRT72.2-1.02-01-028-14,22
nrt12-72-es-e1-b6-t1-r11,NRT72.2-1.02-01-028-14,21
nrt12-72-es-e1-b6-t1-r12,NRT72.2-1.02-01-028-14,20
nrt12-72-es-e1-b6-t1-r13,NRT72.2-1.02-01-028-14,19
nrt12-72-es-e1-b6-t1-r14,NRT72.2-1.02-01-028-14,18
nrt12-72-es-e1-b6-t1-r15,NRT72.2-1.02-01-028-14,17
nrt12-72-es-e1-b6-t1-r16,NRT72.2-1.02-01-028-14,16
nrt12-72-es-mgmt-sw-100-102-217-64,NRT72.2-1.02-01-028-14,15
nrt12-72-es-e1-b6-t2-r9,NRT72.2-1.02-01-028-14,9
nrt12-72-es-e1-b6-t2-r10,NRT72.2-1.02-01-028-14,8
nrt12-72-es-e1-b6-t2-r11,NRT72.2-1.02-01-028-14,7
nrt12-72-es-e1-b6-t2-r12,NRT72.2-1.02-01-028-14,6
nrt12-72-es-e1-b6-t2-r13,NRT72.2-1.02-01-028-14,5
nrt12-72-es-e1-b6-t2-r14,NRT72.2-1.02-01-028-14,4
nrt12-72-es-e1-b6-t2-r15,NRT72.2-1.02-01-028-14,3
nrt12-72-es-e1-b6-t2-r16,NRT72.2-1.02-01-028-14,2
nrt12-72-p4-sw7-wsoob-con-r1,NRT72.2-1.02-01-031-101,40
nrt12-72-p4-sw7-wsoob-con-r2,NRT72.2-1.02-01-031-101,39
nrt12-72-p4-sw8-wsoob-con-r1,NRT72.2-1.02-01-031-101,37
nrt12-72-p4-sw8-wsoob-con-r2,NRT72.2-1.02-01-031-101,36
nrt12-72-p4-wsoob-con-acc-sw7,NRT72.2-1.02-01-031-101,34
nrt12-72-p4-wsoob-con-acc-sw8,NRT72.2-1.02-01-031-101,33
nrt12-72-p4-esoob-con-acc-sw7,NRT72.2-1.02-01-031-101,31
nrt12-72-p4-esoob-con-acc-sw8,NRT72.2-1.02-01-031-101,30
nrt12-72-p4-wsoob-con-acc-sw7-tor1,NRT72.2-1.02-01-031-101,28
nrt12-72-p4-wsoob-con-acc-sw8-tor1,NRT72.2-1.02-01-031-101,27
nrt12-72-p4-esoob-con-acc-sw7-tor1,NRT72.2-1.02-01-031-101,25
nrt12-72-p4-esoob-con-acc-sw8-tor1,NRT72.2-1.02-01-031-101,24
nrt12-72-p4-esoob-con-acc-sw7-tor2,NRT72.2-1.02-01-031-101,22
nrt12-72-p3-sw7-wsoob-con-r1,NRT72.2-1.02-01-031-11,40
nrt12-72-p3-sw7-wsoob-con-r2,NRT72.2-1.02-01-031-11,39
nrt12-72-p3-sw8-wsoob-con-r1,NRT72.2-1.02-01-031-11,37
nrt12-72-p3-sw8-wsoob-con-r2,NRT72.2-1.02-01-031-11,36
nrt12-72-p3-wsoob-con-acc-sw7,NRT72.2-1.02-01-031-11,34
nrt12-72-p3-wsoob-con-acc-sw8,NRT72.2-1.02-01-031-11,33
nrt12-72-p3-esoob-con-acc-sw7,NRT72.2-1.02-01-031-11,31
nrt12-72-p3-esoob-con-acc-sw8,NRT72.2-1.02-01-031-11,30
nrt12-72-p3-wsoob-con-acc-sw7-tor1,NRT72.2-1.02-01-031-11,28
nrt12-72-p3-wsoob-con-acc-sw8-tor1,NRT72.2-1.02-01-031-11,27
nrt12-72-p3-esoob-con-acc-sw7-tor1,NRT72.2-1.02-01-031-11,25
nrt12-72-p3-esoob-con-acc-sw8-tor1,NRT72.2-1.02-01-031-11,24
nrt12-72-p3-esoob-con-acc-sw7-tor2,NRT72.2-1.02-01-031-11,22
NRT12-72-ES-E1-B3-T2-R1,NRT72.2-1.02-01-08-64,47
NRT12-72-ES-E1-B3-T2-R2,NRT72.2-1.02-01-08-64,46
NRT12-72-ES-E1-B3-T2-R3,NRT72.2-1.02-01-08-64,45
NRT12-72-ES-E1-B3-T2-R4,NRT72.2-1.02-01-08-64,44
NRT12-72-ES-E1-B3-T2-R5,NRT72.2-1.02-01-08-64,43
NRT12-72-ES-E1-B3-T2-R6,NRT72.2-1.02-01-08-64,42
NRT12-72-ES-E1-B3-T2-R7,NRT72.2-1.02-01-08-64,41
NRT12-72-ES-E1-B3-T2-R8,NRT72.2-1.02-01-08-64,40
NRT12-72-ES-E1-B3-T1-R1,NRT72.2-1.02-01-08-64,33
NRT12-72-ES-E1-B3-T1-R3,NRT72.2-1.02-01-08-64,32
